Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Origine de l'alerte";"Moyens de première intervention";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Surface de feu à l'arrivée des secours > 0,1 ha";"Voie carrossable la plus proche";"Activité ou habitation la plus proche";"Type de peuplement";Connaissance;"Source de l'enquête";Nature;"Intervention de l'équipe RCCI";"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Hygrométrie (%)";"Vitesse moyenne du vent (Km/h)";"Direction du vent";"Température (°C)";"Précision de la donnée";"Présence d'un contour valide"
2018;6852;34;34088;Cournonterral;"2018-10-01 20:45:00";Population;3;11444;;11444;;;;;;;;;1;4;2;1;Probable;Coordinateur;Malveillance;Oui;Non;;;;;;;;;Non
2018;6879;2A;2A270;Sari-d'Orcino;"2018-06-02 11:57:00";Indéterminé;3;10;;10;;;;;;;;;;1;3;1;Certaine;Sapeur-pompier;Accidentelle;Non;Non;;;;;;;;;Non
2018;6880;2A;2A336;Valle-di-Mezzana;"2018-06-03 12:05:00";Indéterminé;3;2000;;2000;;;;;;;;;;;;;Certaine;Sapeur-pompier;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;6881;2A;2A041;Bonifacio;"2018-06-09 15:45:00";Indéterminé;3;15000;;15000;;;;;;;;;;;;;Inconnue;;;Non;Non;;;;;;;;;Non
2018;6882;2A;2A041;Bonifacio;"2018-06-09 23:00:00";Indéterminé;3;200;;200;;;;;;;;;;;;;Certaine;Sapeur-pompier;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;6883;2A;2A130;Grosseto-Prugna;"2018-06-18 12:50:00";Indéterminé;3;100;;100;;;;;;;;;;;;;Certaine;Sapeur-pompier;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;6884;2A;2A144;Lopigna;"2018-06-19 19:15:00";Indéterminé;3;50;;50;;;;;;;;;;;;;Certaine;Sapeur-pompier;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;6887;2A;2A139;Lecci;"2018-06-22 23:32:00";Indéterminé;3;500;;500;;;;;;;;;;;;;;;;Non;Non;;;;;;;;;Non
2018;6888;2A;2A362;Zonza;"2018-06-23 12:57:00";Indéterminé;3;500;;500;;;;;;;;;;;;;Certaine;Sapeur-pompier;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;6889;2A;2A247;Porto-Vecchio;"2018-06-24 14:35:00";Indéterminé;3;3000;;3000;;;;;;;;;;;;;;;;Non;Non;;;;;;;;;Non
2018;6890;2A;2A026;Azilone-Ampaza;"2018-06-27 16:15:00";Indéterminé;3;200;;200;;;;;;;;;;;;;Certaine;Sapeur-pompier;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;6891;2A;2A004;Ajaccio;"2018-06-29 17:27:00";Indéterminé;3;500;;500;;;;;;;;;;;;;Inconnue;;;Non;Non;;;;;;;;;Non
2018;6923;66;66140;Pézilla-la-Rivière;"2018-07-01 04:25:00";Population;3;5000;1000;4000;;;;;;;;;;1;3;6;Probable;Sapeur-pompier;Malveillance;Non;Non;;;;75;20;NO;21;;Non
2018;6937;66;66030;Calce;"2018-07-04 11:49:00";Population;1;5000;5000;;;;;;;;;;1;3;1;2;Probable;Sapeur-pompier;Malveillance;Non;Non;;;;58;0;;27;;Non
2018;6940;66;66190;Salses-le-Château;"2018-07-05 09:57:00";Population;1;1000;1000;;;;;;;;;;;2;3;4;Probable;Sapeur-pompier;Malveillance;Non;Non;;;;54;30;E;29;;Non
2018;6943;66;66096;Latour-de-France;"2018-07-05 17:23:00";Population;1;5000;;5000;;;;;;;;;1;4;3;1;Probable;Sapeur-pompier;Malveillance;Non;Non;;;;39;50;NO;28;;Non
2018;6948;66;66138;Peyrestortes;"2018-07-06 09:32:00";Population;1;30000;10000;20000;;;;;;;;;1;3;3;2;Probable;Sapeur-pompier;Malveillance;Non;Non;;;;56;36;NO;23;;Non
2018;6961;66;66136;Perpignan;"2018-07-08 16:33:00";Population;1;60000;;60000;;;;;;;;;1;4;1;1;Certaine;Sapeur-pompier;"Involontaire (particulier)";Non;Non;;;;22;40;NO;36;;Non
2018;6970;66;66136;Perpignan;"2018-07-09 17:41:00";Population;1;20000;;20000;;;;;;;;;1;3;3;1;Inconnue;;;Non;Non;;;;31;56;NO;33;;Non
2018;6979;66;66050;Claira;"2018-07-11 10:27:00";Population;1;20000;;20000;;;;;;;;;1;2;1;1;Inconnue;;;Non;Non;;;;39;40;NO;28;;Non
2018;6981;66;66190;Salses-le-Château;"2018-07-11 13:20:00";Population;1;55000;;55000;;;;;;;;;1;3;3;1;Probable;Sapeur-pompier;"Involontaire (particulier)";Oui;Non;;;;32;55;NO;30;;Non
2018;6992;66;66014;Baixas;"2018-07-13 09:20:00";Population;3;2000;;2000;;;;;;;;;;2;3;1;Probable;Coordinateur;Malveillance;Non;Non;;;;50;;;26;;Non
2018;6993;66;66205;Tautavel;"2018-07-13 12:34:00";Population;1;2000;;2000;;;;;;;;;;2;3;1;Probable;Sapeur-pompier;Malveillance;Non;Non;;;;37;25;NE;30;;Non
